Datum,Region_Name,Region_Id,Todesfaelle,Todesfaelle_gesamt
2020-W27,Thüringen,16,0,181
2020-W28,Schleswig-Holstein,01,2,147
2020-W28,Hamburg,02,0,260
2020-W28,Niedersachsen,03,7,637
2020-W28,Bremen,04,2,56
2020-W28,Nordrhein-Westfalen,05,18,1695
2020-W28,Hessen,06,2,510
2020-W28,Rheinland-Pfalz,07,1,229
2020-W28,Baden-Württemberg,08,1,1828
2020-W28,Bayern,09,12,2596
2020-W28,Saarland,10,0,173
2020-W28,Berlin,11,2,211
2020-W28,Brandenburg,12,0,166
2020-W28,Mecklenburg-Vorpommern,13,0,20
2020-W28,Sachsen,14,1,227
2020-W28,Sachsen-Anhalt,15,2,60
2020-W28,Thüringen,16,1,182
2020-W29,Schleswig-Holstein,01,0,147
2020-W29,Hamburg,02,1,261
2020-W29,Niedersachsen,03,2,639
2020-W29,Bremen,04,0,56
2020-W29,Nordrhein-Westfalen,05,7,1702
2020-W29,Hessen,06,0,510
2020-W29,Rheinland-Pfalz,07,2,231
2020-W29,Baden-Württemberg,08,2,1830
2020-W29,Bayern,09,5,2601
2020-W29,Saarland,10,0,173
2020-W29,Berlin,11,4,215
2020-W29,Brandenburg,12,0,166
2020-W29,Mecklenburg-Vorpommern,13,0,20
2020-W29,Sachsen,14,0,227
2020-W29,Sachsen-Anhalt,15,1,61
2020-W29,Thüringen,16,0,182
2020-W30,Schleswig-Holstein,01,1,148
2020-W30,Hamburg,02,0,261
2020-W30,Niedersachsen,03,3,642
2020-W30,Bremen,04,0,56
2020-W30,Nordrhein-Westfalen,05,16,1718
2020-W30,Hessen,06,4,514
2020-W30,Rheinland-Pfalz,07,0,231
2020-W30,Baden-Württemberg,08,3,1833
2020-W30,Bayern,09,4,2605
2020-W30,Saarland,10,0,173
2020-W30,Berlin,11,2,217
2020-W30,Brandenburg,12,1,167
2020-W30,Mecklenburg-Vorpommern,13,0,20
2020-W30,Sachsen,14,0,227
2020-W30,Sachsen-Anhalt,15,1,62
2020-W30,Thüringen,16,0,182
2020-W31,Schleswig-Holstein,01,1,149
2020-W31,Hamburg,02,0,261
2020-W31,Niedersachsen,03,2,644
2020-W31,Bremen,04,1,57
