Datum,Altersgruppe,Todesfaelle,Todesfaelle_gesamt
2021-W51,05-14,1,15
2021-W51,15-34,8,291
2021-W51,35-59,163,5499
2021-W51,60-79,743,33375
2021-W51,80+,1205,70877
2021-W52,00-04,0,15
2021-W52,00+,1784,111861
2021-W52,05-14,0,15
2021-W52,15-34,7,298
2021-W52,35-59,144,5643
2021-W52,60-79,691,34066
2021-W52,80+,942,71819
2022-W01,00-04,0,15
2022-W01,00+,1820,113681
2022-W01,05-14,0,15
2022-W01,15-34,7,305
2022-W01,35-59,154,5797
2022-W01,60-79,625,34691
2022-W01,80+,1034,72853
2022-W02,00-04,2,17
2022-W02,00+,1633,115314
2022-W02,05-14,1,16
2022-W02,15-34,8,313
2022-W02,35-59,133,5930
2022-W02,60-79,594,35285
2022-W02,80+,895,73748
2022-W03,00-04,1,18
2022-W03,00+,1077,116391
2022-W03,05-14,1,17
2022-W03,15-34,5,318
2022-W03,35-59,99,6029
2022-W03,60-79,418,35703
2022-W03,80+,553,74301
2022-W04,00-04,0,18
2022-W04,00+,1005,117396
2022-W04,05-14,0,17
2022-W04,15-34,5,323
2022-W04,35-59,91,6120
2022-W04,60-79,329,36032
2022-W04,80+,579,74880
2022-W05,00-04,0,18
2022-W05,00+,973,118369
2022-W05,05-14,1,18
2022-W05,15-34,5,328
2022-W05,35-59,87,6207
2022-W05,60-79,323,36355
2022-W05,80+,557,75437
2022-W06,00-04,3,21
2022-W06,00+,1221,119590
2022-W06,05-14,1,19
2022-W06,15-34,4,332
2022-W06,35-59,79,6286
2022-W06,60-79,376,36731
2022-W06,80+,758,76195
2022-W07,00-04,1,22
2022-W07,00+,1352,120942
2022-W07,05-14,0,19
2022-W07,15-34,5,337
2022-W07,35-59,77,6363
2022-W07,60-79,378,37109
2022-W07,80+,891,77086
2022-W08,00-04,1,23
2022-W08,00+,1398,122340
2022-W08,05-14,2,21
2022-W08,15-34,0,337
2022-W08,35-59,62,6425
2022-W08,60-79,403,37512
2022-W08,80+,929,78015
2022-W09,00-04,0,23
2022-W09,00+,1424,123764
2022-W09,05-14,1,22
2022-W09,15-34,3,340
2022-W09,35-59,68,6493
2022-W09,60-79,403,37915
2022-W09,80+,949,78964
2022-W10,00-04,0,23
2022-W10,00+,1471,125235
2022-W10,05-14,0,22
2022-W10,15-34,5,345
2022-W10,35-59,71,6564
2022-W10,60-79,387,38302
2022-W10,80+,1008,79972
2022-W11,00-04,1,24
2022-W11,00+,1331,126566
2022-W11,05-14,0,22
2022-W11,15-34,6,351
2022-W11,35-59,44,6608
2022-W11,60-79,379,38681
2022-W11,80+,901,80873
2022-W12,00-04,0,24
2022-W12,00+,1522,128088
2022-W12,05-14,0,22
2022-W12,15-34,3,354
2022-W12,35-59,56,6664
2022-W12,60-79,405,39086
2022-W12,80+,1058,81931
2022-W13,00-04,1,25
2022-W13,00+,1584,129672
2022-W13,05-14,1,23
2022-W13,15-34,4,358
2022-W13,35-59,73,6737
2022-W13,60-79,435,39521
2022-W13,80+,1069,83000
2022-W14,00-04,0,25
2022-W14,00+,1662,131334
2022-W14,05-14,2,25
2022-W14,15-34,5,363
2022-W14,35-59,64,6801
2022-W14,60-79,489,40010
2022-W14,80+,1102,84102
2022-W15,00-04,2,27
2022-W15,00+,1236,132570
2022-W15,05-14,1,26
2022-W15,15-34,6,369
2022-W15,35-59,53,6854
2022-W15,60-79,331,40341
2022-W15,80+,843,84945
2022-W16,00-04,0,27
2022-W16,00+,1232,133802
2022-W16,05-14,0,26
2022-W16,15-34,0,369
2022-W16,35-59,62,6916
2022-W16,60-79,341,40682
2022-W16,80+,829,85774
2022-W17,00-04,0,27
2022-W17,00+,1285,135087
2022-W17,05-14,1,27
2022-W17,15-34,0,369
2022-W17,35-59,64,6980
2022-W17,60-79,331,41013
2022-W17,80+,889,86663
2022-W18,00-04,0,27
2022-W18,00+,1080,136167
2022-W18,05-14,0,27
2022-W18,15-34,4,373
2022-W18,35-59,46,7026
2022-W18,60-79,294,41307
2022-W18,80+,736,87399
2022-W19,00-04,2,29
2022-W19,00+,963,137130
2022-W19,05-14,0,27
2022-W19,15-34,4,377
2022-W19,35-59,51,7077
2022-W19,60-79,262,41569
2022-W19,80+,644,88043
2022-W20,00-04,0,29
2022-W20,00+,835,137965
2022-W20,05-14,1,28
2022-W20,15-34,3,380
2022-W20,35-59,42,7119
2022-W20,60-79,227,41796
2022-W20,80+,562,88605
2022-W21,00-04,0,29
2022-W21,00+,550,138515
2022-W21,05-14,0,28
2022-W21,15-34,3,383
2022-W21,35-59,21,7140
2022-W21,60-79,180,41976
2022-W21,80+,346,88951
2022-W22,00-04,0,29
2022-W22,00+,523,139038
2022-W22,05-14,0,28
2022-W22,15-34,2,385
2022-W22,35-59,25,7165
2022-W22,60-79,165,42141
2022-W22,80+,330,89281
2022-W23,00-04,2,31
2022-W23,00+,415,139453
2022-W23,05-14,1,29
2022-W23,15-34,2,387
2022-W23,35-59,18,7183
2022-W23,60-79,129,42270
2022-W23,80+,263,89544
2022-W24,00-04,0,31
2022-W24,00+,378,139831
2022-W24,05-14,0,29
2022-W24,15-34,2,389
2022-W24,35-59,23,7206
2022-W24,60-79,125,42395
2022-W24,80+,228,89772
2022-W25,00-04,1,32
2022-W25,00+,562,140393
2022-W25,05-14,0,29
2022-W25,15-34,2,391
2022-W25,35-59,29,7235
2022-W25,60-79,179,42574
2022-W25,80+,351,90123
2022-W26,00-04,1,33
2022-W26,00+,561,140954
2022-W26,05-14,0,29
2022-W26,15-34,3,394
2022-W26,35-59,19,7254
2022-W26,60-79,178,42752
2022-W26,80+,360,90483
2022-W27,00-04,0,33
2022-W27,00+,569,141523
2022-W27,05-14,0,29
2022-W27,15-34,0,394
2022-W27,35-59,26,7280
2022-W27,60-79,174,42926
2022-W27,80+,369,90852
